37.139.53.88 - - [01/May/2024:06:48:56 -0700] "GET / HTTP/1.0" 200 89568 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
23.178.112.100 - - [01/May/2024:06:54:50 -0700] "GET /.well-known/acme-challenge/JZ29h3aWufCHFgn4HcbP9A1h9cHz4ok98POjK4clu7o HTTP/1.1" 404 268 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.223.121.24 - - [01/May/2024:06:54:50 -0700] "GET /.well-known/acme-challenge/JZ29h3aWufCHFgn4HcbP9A1h9cHz4ok98POjK4clu7o HTTP/1.1" 404 268 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.223.121.24 - - [01/May/2024:06:54:50 -0700] "GET /.well-known/acme-challenge/kF5426xNEqi5YgTKD6z1rOhm5lk1Uv_SRjV2y8CTppk HTTP/1.1" 404 268 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
23.178.112.104 - - [01/May/2024:06:54:50 -0700] "GET /.well-known/acme-challenge/kF5426xNEqi5YgTKD6z1rOhm5lk1Uv_SRjV2y8CTppk HTTP/1.1" 404 268 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.237.227.191 - - [01/May/2024:06:54:50 -0700] "GET /.well-known/acme-challenge/kF5426xNEqi5YgTKD6z1rOhm5lk1Uv_SRjV2y8CTppk HTTP/1.1" 404 268 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
188.163.98.246 - - [01/May/2024:07:02:53 -0700] "GET / HTTP/1.0" 301 235 "http://rndsquared.com/" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
188.163.98.246 - - [01/May/2024:07:02:53 -0700] "GET / HTTP/1.0" 200 89568 "https://www.rndsquared.com/" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
188.163.98.246 - - [01/May/2024:07:03:01 -0700] "POST / HTTP/1.0" 200 89568 "https://www.rndsquared.com/" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
119.188.246.91 - - [01/May/2024:08:02:55 -0700] "GET /admin.php HTTP/1.1" 301 244 "-" "python-requests/2.31.0"
119.188.246.91 - - [01/May/2024:08:02:56 -0700] "GET /admin.php HTTP/1.1" 404 207 "-" "python-requests/2.31.0"
